id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
54994,,1994,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 15/6 1994,,,,Foreign ministry spokesman,4,Jammu and Kashmir State,Kashmir,Jammu and Kashmir State,,33.916670,76.666670,POINT (76.666670 33.916670),178354,India,750,Asia,1,1,06/08/1994 00:00:00,06/08/1994 00:00:00,1,0,0,0,1,1,1,
54998,,1994,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 11/5 1994,,,,Foreign ministry spokesman,4,Jammu and Kashmir State,Kashmir,Jammu and Kashmir State,,33.916670,76.666670,POINT (76.666670 33.916670),178354,India,750,Asia,2,4,04/25/1994 00:00:00,05/10/1994 00:00:00,0,0,3,0,3,3,3,
55072,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4700,Pt 4700,Jammu and Kashmir State,Kargil district,34.497778,75.466944,POINT (75.466944 34.497778),179071,India,750,Asia,1,1,06/29/1999 00:00:00,06/29/1999 00:00:00,5,13,0,0,18,18,18,
55094,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Pt 4875,Pt 4875 (Twin Bumps),Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/08/1999 00:00:00,07/08/1999 00:00:00,1,4,0,0,5,5,5,
55106,,1995,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 31/5 1995,,,,Pakistani official,3,Neelam District,Neelam Valley,Azad Jammu & Kashmir,Neelam District,34.919183,74.430014,POINT (74.430014 34.919183),179789,Pakistan,770,Asia,1,1,05/30/1995 00:00:00,05/30/1995 00:00:00,0,0,0,0,0,24,0,
55108,,2002,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"R 28/4 ""Indian firing kills three in Kashmir - Pakistan",,,,Police,5,LoC,Azad Kashmir,Azad Jammu & Kashmir,,32.565000,74.673000,POINT (74.673000 32.565000),176910,Pakistan,770,Asia,1,1,04/28/2002 00:00:00,04/28/2002 00:00:00,0,3,0,0,3,3,3,
55116,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Xinhua News Agency,2003-08-17,Pakistani civilian killed in Indian border firing - press report.""",Xinhua News Agency,2003-08-17,Pakistani civilian killed in Indian border firing - press report.,,3,Kotli District,"Kotli sector, Pakistani Kashmir",Azad Jammu & Kashmir,Kotli District,33.445591,73.915571,POINT (73.915571 33.445591),177628,Pakistan,770,Asia,1,1,08/16/2003 00:00:00,08/16/2003 00:00:00,0,0,0,1,1,1,1,
55117,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-10-05,Heavy Indian firing kills 12 in Pakistan Kashmir."";""Pakistan Press International Information Services,2003-10-05,FIRING (12 civilian martyred in India's indiscriminate firing).""",Reuters News;Pakistan Press International Information Services,2003-10-05;2003-10-05,Heavy Indian firing kills 12 in Pakistan Kashmir.;FIRING (12 civilian martyred in India's indiscriminate firing).,,5,Neelam valley,"Salkhala, Ramatta, Shahkot, Lala, and Bugna villages (Sakhla, Ravata, Bugena), Neelum valley (Pakistan)",Azad Jammu & Kashmir,Neelam District,34.589100,73.910600,POINT (73.910600 34.589100),179788,Pakistan,770,Asia,1,1,10/05/2003 00:00:00,10/05/2003 00:00:00,0,0,0,12,12,12,12,
55276,,1997,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"BBC 8/26/1997 About 50 Pakistani soldiers killed in exchange of fire. Source: All-India Doordarshan television, New Delhi, in English 1530 gmt 24 Aug 97",,,,,5,LoC,along the Line of Control in Jammu and Kashmir.,,,32.565000,74.676000,POINT (74.676000 32.565000),176910,India,750,Asia,1,1,08/22/1997 00:00:00,08/22/1997 00:00:00,2,50,3,0,55,55,55,
55324,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tololing mountain,Tololing (Pt. 4590),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,1,1,05/30/1999 00:00:00,05/30/1999 00:00:00,3,0,0,0,3,3,3,
55337,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4700,Pt 4700,Jammu and Kashmir State,Kargil district,34.497778,75.466944,POINT (75.466944 34.497778),179071,India,750,Asia,2,2,06/29/1999 00:00:00,07/02/1999 00:00:00,0,33,0,0,33,33,33,
55347,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Tharu (Jubar Ridge),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,3,2,07/08/1999 00:00:00,07/09/1999 00:00:00,0,2,0,0,2,2,2,
55349,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,Reuters 1/27/1999 India says five Pakistani soldiers killed.,,,,,5,Karakorum Shan mountains,"Himalayan Karakoram range, the 80-km (50-mile) long Siachen glacier",Jammu and Kashmir State,Ladakh district,34.000000,78.000000,POINT (78.000000 34.000000),179077,India,750,Asia,1,1,01/27/1999 00:00:00,01/27/1999 00:00:00,0,5,0,0,5,5,5,
55354,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Batalik village,"Batalik Village, near",Jammu and Kashmir State,Kargil district,34.656944,76.341667,POINT (76.341667 34.656944),179793,India,750,Asia,1,2,05/08/1999 00:00:00,05/09/1999 00:00:00,4,0,0,0,4,4,4,
55355,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Yaldor village,"Yaldor Village, near",Jammu and Kashmir State,Ladakh district,34.622900,76.476300,POINT (76.476300 34.622900),179793,India,750,Asia,1,1,05/08/1999 00:00:00,05/08/1999 00:00:00,4,0,0,0,4,4,4,
55360,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Kargil Review Committee Report.  Pg 98.
Acosta, Marcus P. ""The Kargil Conflict: Waging War in the Himalayas."" Small Wars & Insurgencies. 18.3 (2007): 397-415. Print.",,,,Indian Government,3,Kargil district,Kargil District,Jammu and Kashmir State,Kargil district,34.172363,76.182296,POINT (76.182296 34.172363),179073,India,750,Asia,2,5,05/08/1999 00:00:00,07/10/1999 00:00:00,161,0,0,0,161,724,161,
55361,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Kaksar village,"Kaksar village, near",Jammu and Kashmir State,Kargil district,34.519325,75.973236,POINT (75.973236 34.519325),179792,India,750,Asia,1,1,05/15/1999 00:00:00,05/15/1999 00:00:00,2,0,0,0,2,2,2,
55362,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tiger Hill,Beneath Tiger Hill from Sando Approach,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,05/18/1999 00:00:00,05/18/1999 00:00:00,3,0,0,0,3,3,3,
55363,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,05/21/1999 00:00:00,05/21/1999 00:00:00,5,0,0,0,5,5,5,
55364,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,2,05/24/1999 00:00:00,05/27/1999 00:00:00,1,0,0,0,1,1,1,
55366,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Jubar (Pt 4924),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,2,2,05/27/1999 00:00:00,05/28/1999 00:00:00,3,0,0,0,3,3,3,
55367,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Pt 4268 (Jubar Ridge),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,2,2,05/27/1999 00:00:00,05/28/1999 00:00:00,2,0,0,0,2,2,2,
55368,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Pt 4268 (Jubar Ridge),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,1,1,05/28/1999 00:00:00,05/28/1999 00:00:00,0,1,0,0,1,1,1,
55369,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Pt 4268 (Jubar Ridge),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,1,1,05/29/1999 00:00:00,05/29/1999 00:00:00,4,2,0,0,6,6,6,
55370,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tololing mountain,Tololing (Pt. 4590),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,2,4,05/30/1999 00:00:00,06/14/1999 00:00:00,3,0,0,0,3,3,3,
55371,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,05/30/1999 00:00:00,05/30/1999 00:00:00,6,0,0,0,6,6,6,
55372,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Pt 4268 (Jubar Ridge),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,2,5,05/30/1999 00:00:00,07/02/1999 00:00:00,2,0,0,0,2,2,2,
55373,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Handang Brok village,Khumb (near Handangbrok),Jammu and Kashmir State,Kargil district,34.683056,76.645000,POINT (76.645000 34.683056),179794,India,750,Asia,1,1,05/31/1999 00:00:00,05/31/1999 00:00:00,1,0,0,0,1,1,1,
55374,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Chorbat La village,Pt 5620 (Chorbatla Area),Jammu and Kashmir State,Ladakh district,34.754280,76.617790,POINT (76.617790 34.754280),179794,India,750,Asia,1,1,05/31/1999 00:00:00,05/31/1999 00:00:00,0,3,0,0,3,3,3,
55375,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Jubar Top,Jubar Top (Pt 4924),Jammu and Kashmir State,Kargil district,34.720000,76.410000,POINT (76.410000 34.720000),179793,India,750,Asia,2,5,05/30/1999 00:00:00,07/02/1999 00:00:00,1,0,0,0,1,1,1,
55376,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 5203,Pt 5203,Jammu and Kashmir State,Kargil district,34.704549,76.489004,POINT (76.489004 34.704549),179793,India,750,Asia,1,1,06/08/1999 00:00:00,06/08/1999 00:00:00,18,7,0,0,25,34,25,
55377,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tololing mountain,Tololing (Hump Complex),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,2,2,06/14/1999 00:00:00,06/17/1999 00:00:00,0,2,0,0,2,2,2,
55379,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tololing mountain,Tololing (Rocky Knob),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,2,2,06/14/1999 00:00:00,06/17/1999 00:00:00,0,1,0,0,1,1,1,
55380,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tololing mountain,Tololing (Hump Complex),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,1,1,06/16/1999 00:00:00,06/16/1999 00:00:00,2,2,0,0,4,4,4,
55381,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tololing mountain,Tololing (Hump Complex),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,1,1,06/17/1999 00:00:00,06/17/1999 00:00:00,1,0,0,0,1,1,1,
55382,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tololing mountain,Tololing (Rocky Knob),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,1,1,06/17/1999 00:00:00,06/17/1999 00:00:00,0,3,0,0,3,3,3,
55384,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4700,Pt 4700,Jammu and Kashmir State,Kargil district,34.497778,75.466944,POINT (75.466944 34.497778),179071,India,750,Asia,2,2,06/27/1999 00:00:00,07/02/1999 00:00:00,7,0,0,0,7,7,7,
55387,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Bunker Area (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,1,1,07/03/1999 00:00:00,07/03/1999 00:00:00,3,16,0,0,19,19,19,
55388,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Khalubar North (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,2,2,07/03/1999 00:00:00,07/07/1999 00:00:00,1,0,0,0,1,1,1,
55389,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Khalubar South (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,2,2,07/03/1999 00:00:00,07/07/1999 00:00:00,1,0,0,0,1,1,1,
55390,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,(Pt 4875 Complex),Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/04/1999 00:00:00,07/04/1999 00:00:00,1,0,0,0,1,1,1,
55391,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Yellow Sleeping Bag Area (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,2,2,07/03/1999 00:00:00,07/07/1999 00:00:00,1,0,0,0,1,1,1,
55392,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Bunker Area (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,2,2,07/03/1999 00:00:00,07/07/1999 00:00:00,1,0,0,0,1,1,1,
55393,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill Stop,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,3,2,07/04/1999 00:00:00,07/05/1999 00:00:00,7,12,0,0,19,19,19,
55395,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tiger Hill,India Gate (Tiger Hill Complex),Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,3,2,07/05/1999 00:00:00,07/07/1999 00:00:00,16,30,0,0,46,46,46,
55396,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,2,2,07/05/1999 00:00:00,07/08/1999 00:00:00,27,17,0,0,44,44,44,
55397,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tiger Hill,India Gate (Tiger Hill Complex),Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,07/06/1999 00:00:00,07/06/1999 00:00:00,2,2,0,0,4,4,4,
55399,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/06/1999 00:00:00,07/06/1999 00:00:00,0,2,0,0,2,2,2,
55400,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pimple 2 (Pt 4875 Complex),Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/06/1999 00:00:00,07/06/1999 00:00:00,0,6,0,0,6,6,6,
55401,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/06/1999 00:00:00,07/06/1999 00:00:00,8,0,0,0,8,8,8,
55402,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Stangba Ridge (a feature of Khalubar Ridge near its norther termination) from the east,Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,3,2,07/06/1999 00:00:00,07/07/1999 00:00:00,4,25,0,0,29,29,29,
55403,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Pt 4875,Pt 4875 (Twin Bumps),Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/07/1999 00:00:00,07/07/1999 00:00:00,7,14,0,0,21,21,21,
55404,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Pt 5287 (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,3,2,07/07/1999 00:00:00,07/08/1999 00:00:00,0,3,0,0,3,3,3,
55405,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Tiger Hill,V-Cut (Tiger Hill Complex),Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,07/08/1999 00:00:00,07/08/1999 00:00:00,0,5,0,0,5,5,5,
55408,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill Top,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,07/10/1999 00:00:00,07/10/1999 00:00:00,0,1,0,0,1,1,1,
