id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
52171,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Reuters News,2003-02-04,UPDATE 2-Indian forces kill five rebels on Kashmir border.""",Reuters News,2003-02-04,UPDATE 2-Indian forces kill five rebels on Kashmir border.,,2,Kahuta village,"Daigwaar (Digwar), a border village in the Farward Kahutta sector in the southern Bagh district, 80 km (50 miles) northeast of Islamabad. Pakistan",Azad Jammu & Kashmir,Bagh District,33.889136,74.106720,POINT (74.106720 33.889136),178349,Pakistan,770,Asia,1,1,02/04/2003 00:00:00,02/04/2003 00:00:00,0,0,0,2,2,2,2,
52172,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-02-09,UPDATE 1-Two killed in border firing in Indian Kashmir."";""Agence France-Presse,2003-02-09,Two killed, five injured in India-Pakistan firing""",Reuters News;Agence France-Presse,2003-02-09;2003-02-09,"UPDATE 1-Two killed in border firing in Indian Kashmir.;Two killed, five injured in India-Pakistan firing",,1,Ghani village,"Gahani village Poonch district, India",Jammu and Kashmir State,Poonch district,33.645253,74.075317,POINT (74.075317 33.645253),178349,India,750,Asia,1,1,02/09/2003 00:00:00,02/09/2003 00:00:00,1,0,1,0,2,2,2,
52174,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-10-19,Three civilians killed, 10 others wounded in shooting in Kashmir""",Associated Press Newswires,2003-10-19,"Three civilians killed, 10 others wounded in shooting in Kashmir",,2,Samahni village,"Samahni area, 300 kilometers (180 miles) south of Muzaffarabad, the capital of Pakistani Kashmir",Azad Jammu & Kashmir,Bhimber District,33.090324,74.138110,POINT (74.138110 33.090324),177629,Pakistan,770,Asia,1,1,10/18/2003 00:00:00,10/18/2003 00:00:00,0,0,3,0,3,3,3,
52194,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,06/02/1999 00:00:00,06/02/1999 00:00:00,17,0,0,0,17,17,17,
52201,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/03/1999 00:00:00,07/03/1999 00:00:00,0,1,0,0,1,1,1,
52218,,1995,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 6/7 1995,,,,Police,3,Neelam District,Neelam Valley,Azad Jammu & Kashmir,Neelam District,34.919183,74.430014,POINT (74.430014 34.919183),179789,Pakistan,770,Asia,1,1,07/06/1995 00:00:00,07/06/1995 00:00:00,0,0,2,0,2,2,2,
52247,,1992,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 9/3 1992,,,,APP News Agency,4,Jammu and Kashmir State,Kashmir,Jammu and Kashmir State,,33.916670,76.666670,POINT (76.666670 33.916670),178354,India,750,Asia,2,2,03/07/1992 00:00:00,03/08/1992 00:00:00,0,0,0,0,0,5,0,
52270,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Kaksar village,"Kaksar village, near",Jammu and Kashmir State,Kargil district,34.519325,75.973236,POINT (75.973236 34.519325),179792,India,750,Asia,1,1,06/02/1999 00:00:00,06/02/1999 00:00:00,1,0,0,0,1,1,1,
52271,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,2,2,07/04/1999 00:00:00,07/07/1999 00:00:00,31,0,0,0,31,31,31,
52275,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Xinhua News Agency,2003-02-10,Indian soldier killed, 9 Pak civilians injured in border firing.""",Xinhua News Agency,2003-02-10,"Indian soldier killed, 9 Pak civilians injured in border firing.",,5,LoC,"Loc, Kashmir, India",,,32.565000,74.676000,POINT (74.676000 32.565000),176910,India,750,Asia,1,1,02/09/2003 00:00:00,02/09/2003 00:00:00,1,0,0,0,1,1,1,
